headword,CEFR,lemma
bounce,B1,bounce
bound,B1,bind
bourbon,B2,bourbon
bow,B1,bow
bow,B2,bow
bowl,A1,bowl
bowl,B1,bowl
box,A1,box
boxer,B2,boxer
boxing,B1,box
boy,A1,boy
boyfriend,A1,boyfriend
bra,A2,bra
bracelet,B1,bracelet
bracket,B2,bracket
brag,B2,brag
brain,A1,brain
brainstorm,A2,brainstorm
brainstorming,B1,brainstorm
brake,A2,brake
brake,B2,brake
branch,A2,branch
branch,B1,branch
brand,A2,brand
brand-new,B1,brand
brass,B1,brass
brave,A2,brave
bravely,B1,bravely
bravery,B2,bravery
bread,A1,bread
break,A2,break
break,A1,break
breakable,B2,breakable
breakdown,B2,breakdown
breakfast,A1,breakfast
breakthrough,B1,breakthrough
breakup,B2,breakup
breast,B1,breast
breath,B1,breath
breathe,A1,breathe
breathless,B1,breathless
breathtaking,B2,breathtake
breed,B2,breed
breed,B1,breed
breeding,B1,breed
breeze,A2,breeze
breezy,B2,breezy
brewery,B2,brewery
brick,B1,brick
bride,A2,bride
bridge,A1,bridge
brief,B1,brief
briefly,B1,briefly
bright,A1,bright
brightly,B1,brightly
brilliant,A2,brilliant
brilliantly,B2,brilliantly
bring,A1,bring
broad,B1,broad
broadband,B2,broadband
broadcast,B1,broadcast
broadcast,B2,broadcast
broadcaster,B2,broadcaster
broaden,B2,broaden
broadly,B2,broadly
broccoli,B1,broccoli
brochure,B2,brochure
broken,A1,break
bronze,B1,bronze
brother,A1,brother
brotherhood,B1,brotherhood
brother-in-law,B2,brother
brown,A1,brown
brown,A2,brown
browse,B2,browse
browser,B2,browser
bruise,B2,bruise
brush,A1,brush
brush,A1,brush
bubble,B1,bubble
bucket,A1,bucket
bud,B2,bud
buddy,B1,buddy
budget,B2,budget
budget,A2,budget
bug,A2,bug
build,A1,build
builder,B1,builder
building,A1,build
bulb,A2,bulb
bulimia,B2,bulimia
bull,B1,bull
bullet,B1,bullet
bulletin,B1,bulletin
bully,B2,bully
bum,B2,bum
bump,B1,bump
bumper,B2,bumper
bun,B2,bun
bunch,B1,bunch
burden,B1,burden
burden,B2,burden
burdensome,B2,burdensome
bureau,B1,bureau
bureaucracy,B2,bureaucracy
burger,A1,burger
burglar,B1,burglar
burglary,B2,burglary
burgle,B2,burgle
burial,B2,burial
burn,A2,burn
burn,B1,burn
burning,B1,burn
burst,B1,burst
bury,A2,bury
bus,A1,bus
bus station,A2,bus
bus stop,A2,bus
bush,A2,bush
business,A1,business
businessman,A2,businessman
businesswoman,A2,businesswoman
bust,B1,bust
bustle,B2,bustle
bustling,B2,bustle
busy,A1,busy
but,A1,but
but,B1,but
butcher,B1,butcher
butcher,B2,butcher
butter,A1,butter
butterfly,A1,butterfly
button,A1,button
buy,A1,buy
buyer,B1,buyer
buzz,B2,buzz
buzz,B2,buzz
by,A1,by
bye,A1,bye
cab,A2,cab
cabbage,B1,cabbage
cabin,B1,cabin
cabinet,B2,cabinet
cable,B2,cable
cafe/café,A1,cafe
cafeteria,A2,cafeteria
cage,B1,cage
cake,A1,cake
calculate,B1,calculate
calculation,B1,calculation
calculator,B1,calculator
calendar,A2,calendar
calf,B1,calf
call,A1,call
call,A2,call
caller,B1,caller
calm,B1,calm
calmly,B2,calmly
calmness,B1,calmness
camel,B1,camel
camera,A1,camera
camp,A1,camp
camp,A2,camp
campaign,B2,campaign
camping,A2,camping
campsite,B1,campsite
campus,A2,campus
can,A1,can
can,A2,can
canal,B1,canal
cancel,B1,cancel
cancer,B1,cancer
candidate,B2,candidate
candle,B1,candle
candy,A1,candy
cane,B2,cane
canned,B1,can
cannonball,B2,cannonball
canon,B2,canon
canteen,B1,canteen
cap,A1,cap
capability,B2,capability
capable,B1,capable
capacity,B1,capacity
capital,A2,capital
capital letter,A2,capital
capsule,B1,capsule
captain,A2,captain
caption,B2,caption
captive,B2,captive
capture,B1,capture
capture,B1,capture
car,A1,car
car park,A2,car
caravan,B2,caravan
carbon,B2,carbon
carbon dioxide,B2,carbon
carbon footprint,B2,carbon
carbon monoxide,B2,carbon
card,A1,card
cardboard,B2,cardboard
cardigan,B2,cardigan
care,A1,care
care,B1,care
career,B1,career
carefree,B2,carefree
careful,A1,careful
carefully,A1,carefully
careless,B1,careless
carelessly,B1,carelessly
carelessness,B1,carelessness
caring,B2,care
carnival,B2,carnival
carpet,B1,carpet
carpool,B2,carpool
carriage,B1,carriage
carrot,A2,carrot
carry,A1,carry
carton,B1,carton
cartoon,A1,cartoon
carve,B2,carve
cascade,B2,cascade
case,A1,case
cash,A2,cash
cashpoint,B1,cashpoint
cassette,A2,cassette
cast,B2,cast
cast,B2,cast
castle,A2,castle
casual,B1,casual
casually,B2,casually
cat,A1,cat
catalog/catalogue,B2,catalog
catalyst,B2,catalyst
catastrophe,B2,catastrophe
catastrophic,B2,catastrophic
catch,A1,catch
catch,A1,catch
catchy,B2,catchy
categorization/categorisation,B2,categorization
categorize/categorise,B1,categorize
category,B1,category
catering,B2,cater
cathedral,B2,cathedral
cattle,B1,cattle
cause,B2,cause
cause,A2,cause
caution,B1,caution
cautious,B1,cautious
cave,B1,cave
CD,A1,cd
CD player,A1,cd
CD-ROM,B1,cd
cease,B2,cease
ceiling,B2,ceiling
celebrate,A1,celebrate
celebration,A1,celebration
celebrity,B1,celebrity
cell,B1,cell
cellar,B2,cellar
cellist,B2,cellist
cello,B2,cello
cemetery,B2,cemetery
cent,A2,cent
center/centre,A2,center
centigrade,B2,centigrade
centimeter/centimetre,A2,centimeter
central,B1,central
central heating,B1,central
century,A2,century
cereal,A2,cereal
ceremony,B1,ceremony
certain,A2,certain
certainly,A2,certainly
certainty,B1,certainty
certificate,B2,certificate
certification,B2,certification
certify,B2,certify
chain,A2,chain
chair,A1,chair
chairman,A2,chairman
challenge,A2,challenge
challenge,B2,challenge
challenging,B1,challenge
champagne,A2,champagne
champion,B1,champion
championship,A2,championship
chance,A2,chance
chancellor,B2,chancellor
change,A1,change
change,A1,change
channel,B1,channel
chaos,B1,chaos
chaotic,B2,chaotic
chapter,A2,chapter
character,A1,character
characteristic,B2,characteristic
characteristic,B1,characteristic
characterize/characterise,B1,characterize
charge,B1,charge
charge,B1,charge
chariot,B1,chariot
charity,B1,charity
charm,B1,charm
charming,B2,charming
chart,A2,chart
chase,B1,chase
chase,B2,chase
chat,B1,chat
chat,A2,chat
chat show,B1,chat
cheap,A2,cheap
cheat,B2,cheat
check,A1,check
check,A2,check
check-in counter/check-in,B1,check
check-in desk/check-in,B1,check
checkout,B1,checkout
checkpoint,B2,checkpoint
cheek,A2,cheek
cheeky,B2,cheeky
cheer,A2,cheer
cheerful,B1,cheerful
cheerfully,B2,cheerfully
cheerfulness,B2,cheerfulness
