headword,CEFR,lemma
plate,A2,plate
platform,B1,platform
play,A1,play
play,A1,play
player,A1,player
playful,A2,playful
playground,A2,playground
playmate,B2,playmate
playwright,B2,playwright
plead,B2,plead
pleasant,A2,pleasant
pleasantly,B1,pleasantly
please,A1,please
please,B1,please
pleased,A2,please
pleasing,A2,please
pleasure,A1,pleasure
plenty,A2,plenty
plenty,B1,plenty
plot,B2,plot
pluck,B2,pluck
plug,B1,plug
plug,B2,plug
plum,B2,plum
plumber,B2,plumber
plural,A2,plural
plus,B1,plus
plus,B2,plus
plus,A2,plus
pneumonia,B2,pneumonia
pocket,A1,pocket
pocket money,B1,pocket
poem,A1,poem
poet,B1,poet
poetry,B1,poetry
point,A1,point
point,A2,point
point of view,B2,point
pointless,B2,pointless
poison,B1,poison
poison,B2,poison
poisonous,B1,poisonous
polar bear,B2,polar
pole,B1,pole
police,A2,police
police officer,A2,police
police station,A2,police
policeman,A2,policeman
policewoman,A2,policewoman
policy,B1,policy
polio,B2,polio
polish,B2,polish
polite,A2,polite
politely,B1,politely
politeness,B2,politeness
political,A2,political
politically,B2,politically
politician,B1,politician
politics,B1,politic
polity,B2,polity
pollutant,B1,pollutant
pollute,A2,pollute
pollution,A1,pollution
polo,B2,polo
pond,B1,pond
ponder,B2,ponder
pool,A1,pool
poor,A1,poor
pop,A1,pop
pop,B2,pop
popcorn,B1,popcorn
popular,A2,popular
popularity,B2,popularity
popularize/popularise,B2,popularize
population,A2,population
porch,B2,porch
pork,B1,pork
port,B1,port
portion,B2,portion
portrait,A2,portrait
pose,B2,pose
posh,B2,posh
position,A2,position
positive,B1,positive
positively,B1,positively
possess,B1,posses
possessed,B2,possess
possession,B1,possession
possessive,B1,possessive
possibility,B1,possibility
possible,A2,possible
possibly,A2,possibly
post,A1,post
post,A2,post
post office,A2,post
postal,B2,postal
postcard,B1,postcard
poster,A1,poster
postman,B1,postman
postpone,B2,postpone
pot,B1,pot
potato,A1,potato
potent,B2,potent
potential,B2,potential
potential,B1,potential
potentially,B2,potentially
pottery,B1,pottery
pound,B1,pound
pound,B2,pound
pour,A2,pour
poverty,B1,poverty
powder,B1,powder
powder,B2,powder
power,A2,power
powerful,A2,powerful
powerfully,B2,powerfully
practical,B1,practical
practicality,B2,practicality
practically,B2,practically
practice,A1,practice
practice/practise,A1,practice
praise,B1,praise
praise,B2,praise
prance,B2,prance
prawn,B2,prawn
pray,A1,pray
prayer,B1,prayer
precede,B2,precede
precious,B1,precious
precise,A2,precise
precisely,B2,precisely
predicament,B2,predicament
predicate,B2,predicate
predicative,B2,predicative
predict,A2,predict
predictable,B2,predictable
prediction,A2,prediction
predictive,B2,predictive
predictor,B2,predictor
prefect,B2,prefect
prefer,A2,prefer
preferable,B2,preferable
preferably,B2,preferably
preference,B1,preference
prefix,B1,prefix
pregnant,B1,pregnant
prehistoric,B2,prehistoric
prehuman,B2,prehuman
preindustrial,B2,preindustrial
prejudge,B2,prejudge
prejudice,B1,prejudice
preliminary,B2,preliminary
preoccupy,B2,preoccupy
preparation,B1,preparation
prepare,A2,prepare
prepared,B1,prepare
preposition,B1,preposition
preschool,B1,preschool
prescribe,B2,prescribe
prescription,B1,prescription
presence,B1,presence
present,B1,present
present,A1,present
present,B2,present
presentation,B1,presentation
presenter,B2,presenter
preservation,B1,preservation
preserve,B1,preserve
presidency,B2,presidency
president,B1,president
presidential,B2,presidential
press,B1,press
press,B1,press
pressure,A2,pressure
prestige,B2,prestige
prestigious,B2,prestigious
presumably,B2,presumably
pretend,B2,pretend
pretend,A2,pretend
pretty,A1,pretty
pretty,A2,pretty
prevail,B2,prevail
prevent,A2,prevent
prevention,B2,prevention
preventive,B2,preventive
previous,B1,previous
previously,B2,previously
price,A1,price
price,B2,price
priceless,B2,priceless
prick,B2,prick
pride,A2,pride
priest,B1,priest
primarily,B1,primarily
primary,B2,primary
primary school,B1,primary
prime,B2,prime
prime minister,B2,prime
primitive,B1,primitive
prince,A1,prince
princess,A1,princess
principal,A2,principal
principal,B2,principal
principle,B1,principle
print,B1,print
print,A2,print
printer,A2,printer
prior,B2,prior
priority,B2,priority
prison,B1,prison
prisoner,B1,prisoner
privacy,B1,privacy
private,A2,private
privately,B2,privately
privilege,B2,privilege
prize,B1,prize
pro,A2,pro
probability,B1,probability
probable,B2,probable
probably,A2,probably
probe,B2,probe
problem,A1,problem
procedure,B2,procedure
proceed,B1,proceed
process,B1,process
process,B2,process
proclaim,B1,proclaim
procrastination,B1,procrastination
produce,A2,produce
producer,B1,producer
product,A2,product
production,A2,production
productive,B1,productive
profession,B1,profession
professional,A2,professional
professional,B2,professional
professor,B1,professor
profile,B2,profile
profit,B2,profit
profitable,B2,profitable
program/programme,A1,program
program/programme,B1,program
programmer,B2,programmer
programming,B2,programming
progress,B1,progress
progress,B2,progress
progressive,A2,progressive
prohibit,B2,prohibit
prohibition,B1,prohibition
project,B2,project
project,B2,project
projection,B2,projection
prom,B2,prom
prominence,B2,prominence
prominent,B1,prominent
promise,A2,promise
promise,B1,promise
promote,B1,promote
promotion,B1,promotion
prompt,B2,prompt
prompt,B2,prompt
prompt,B2,prompt
promptly,B2,promptly
pronoun,B1,pronoun
pronounce,A2,pronounce
pronunciation,A2,pronunciation
proof,B1,proof
proper,A2,proper
properly,B1,properly
property,B1,property
proponent,B2,proponent
proportion,B1,proportion
proposal,B1,proposal
propose,B1,propose
proposed,B2,propose
prose,B2,prose
prosecute,B2,prosecute
prospect,B2,prospect
prosper,B2,prosper
prosperity,B1,prosperity
prosperous,B1,prosperous
protect,B1,protect
protection,B1,protection
protective,B1,protective
protest,B1,protest
protest,B2,protest
proud,B1,proud
proudly,B2,proudly
prove,B1,prove
proven,B2,prove
proverb,B1,proverb
provide,A2,provide
provided,B1,provide
province,B2,province
provision,B2,provision
proximity,B2,proximity
psychological,B1,psychological
psychologically,B2,psychologically
psychologist,A2,psychologist
psychology,B2,psychology
pub,B1,pub
public,B1,public
public,A2,public
public transport,B1,public
publication,B2,publication
publicity,B2,publicity
publicize/publicise,B2,publicize
publicly,B1,publicly
publish,A2,publish
publisher,B1,publisher
pudding,B2,pudding
pull,A2,pull
pullover,B1,pullover
pulse,B2,pulse
pump,B1,pump
pumpkin,B2,pumpkin
punch,B2,punch
punch,B2,punch
punctual,B2,punctual
punctuality,B2,punctuality
punctuation,A2,punctuation
punish,B1,punish
punishment,B1,punishment
pupil,B1,pupil
puppy,B1,puppy
purchase,B2,purchase
purchase,B2,purchase
pure,B1,pure
purify,B1,purify
purple,A2,purple
purple,A1,purple
purpose,A2,purpose
purposeful,B2,purposeful
purse,B1,purse
pursue,A2,pursue
pursuit,B2,pursuit
push,B1,push
push,A1,push
put,A1,put
puzzle,B1,puzzle
puzzled,B2,puzzle
quake,B1,quake
qualification,B2,qualification
qualified,B1,qualify
qualify,B1,qualify
quality,B1,quality
quality,A2,quality
quantify,B2,quantify
quantity,B1,quantity
quarantine,B2,quarantine
quarrel,B2,quarrel
quarrel,B2,quarrel
quarrelsome,B2,quarrelsome
quarter,A1,quarter
queen,A2,queen
queer,B2,queer
query,B2,query
question,A1,question
question,B2,question
question mark,B1,question
questionnaire,B1,questionnaire
queue,B1,queue
queue,B2,queue
quick,A2,quick
quickly,A1,quickly
quiet,A1,quiet
quiet,B2,quiet
quietly,A2,quietly
quit,B2,quit
quit,A2,quit
quite,A2,quite
quiz,A2,quiz
quotable,B2,quotable
quotation,B2,quotation
quote,B2,quote
quote,B2,quote
rabbit,A1,rabbit
race,B1,race
race,B1,race
racial,B1,racial
racism,B2,racism
racist,B2,racist
rack,B2,rack
racket,A2,racket
radar,B2,radar
radiate,B2,radiate
radiation,B1,radiation
radical,B2,radical
radically,B2,radically
radio,A1,radio
radium,B2,radium
rafter,B2,rafter
rag,B2,rag
rage,B1,rage
rail,B1,rail
railroad,B1,railroad
railway,B1,railway
rain,A1,rain
rain,A1,rain
rainbow,B2,rainbow
raincoat,A2,raincoat
rainfall,B1,rainfall
rainforest,B1,rainforest
rainstorm,B2,rainstorm
rainy,A1,rainy
raise,A2,raise
rally,B2,rally
ram,B2,ram
ramp,B2,ramp
range,A2,range
range,B2,range
ranger,B2,ranger
rank,B1,rank
rap,A2,rap
rap,B1,rap
rape,B2,rape
rape,B2,rape
rapid,B1,rapid
rapidly,B1,rapidly
rare,B1,rare
rarely,B1,rarely
rash,B2,rash
raspberry,B1,raspberry
rat,A1,rat
rate,A2,rate
rate,B2,rate
rather,A2,rather
rating,A2,rating
ration,B1,ration
rational,B1,rational
rattle,B2,rattle
ravage,B2,ravage
raw,A2,raw
ray,A2,ray
razor,B1,razor
're,A1,be
reach,B1,reach
reach,A2,reach
react,B1,react
reaction,B2,reaction
read,A1,read
reader,A1,reader
readily,B2,readily
reading,A1,read
ready,A1,ready
real,A1,real
real,A1,real
real estate,B2,real
realistic,B1,realistic
reality,B1,reality
realization/realisation,B2,realization
realize/realise,A2,realize
really,A1,really
rear,B2,rear
rearrange,B1,rearrange
reason,A1,reason
reasonable,B1,reasonable
reasonably,B2,reasonably
rebel,B2,rebel
rebel,B2,rebel
rebellious,B2,rebellious
rebuild,B1,rebuild
recall,B1,recall
receipt,A2,receipt
receive,A2,receive
recent,A2,recent
recently,A2,recently
reception,B1,reception
receptionist,A2,receptionist
recession,B2,recession
recipe,B2,recipe
recite,B1,recite
reckon,B2,reckon
reclaim,B1,reclaim
recognition,B2,recognition
recognize/recognise,B1,recognize
recollect,B2,recollect
recollection,B2,recollection
recommend,B1,recommend
recommendable,B2,recommendable
recommendation,B2,recommendation
reconsider,B2,reconsider
record,B1,record
record,A2,record
recording,B1,record
recover,B1,recover
recovery,B1,recovery
recreation,B2,recreation
recruit,B2,recruit
rectangular,B2,rectangular
recycle,A2,recycle
recycled,B1,recycle
recycling,B1,recycle
red,A1,red
red,A2,red
redo,B2,redo
reduce,B1,reduce
reduction,B1,reduction
redundant,B2,redundant
reed,B2,reed
reef,B1,reef
refer,A2,refer
referee,B1,referee
reference,B2,reference
referent,B2,referent
refinery,B2,refinery
reflect,A2,reflect
reflection,B1,reflection
reflective,B2,reflective
reform,B2,reform
refrain,B2,refrain
refresh,B2,refresh
refreshments,B1,refreshment
refrigerator,A2,refrigerator
refuge,B2,refuge
refugee,B2,refugee
refund,B1,refund
refusal,B1,refusal
refuse,B1,refuse
refuse,B1,refuse
refute,B2,refute
regain,B1,regain
regard,B2,regard
regard,B1,regard
regarding,B1,regard
regardless,B2,regardless
reggae,B2,reggae
regime,B2,regime
region,B1,region
regional,B1,regional
register,B1,register
register,B1,register
registration,B1,registration
regret,B2,regret
regret,A2,regret
regrettably,B2,regrettably
regular,A2,regular
regularly,A2,regularly
regulate,B2,regulate
regulation,B1,regulation
rehearsal,B2,rehearsal
reinforce,B2,reinforce
reinforcement,B2,reinforcement
reject,B1,reject
rejection,B2,rejection
rejoin,B2,rejoin
relate,B1,relate
related,B2,relate
relation,B1,relation
relationship,B1,relationship
relative,B1,relative
relative,B1,relative
relatively,B1,relatively
relativity,B2,relativity
relax,A2,relax
relaxation,B2,relaxation
relaxed,A2,relax
relaxing,B1,relax
relay,B2,relay
release,A2,release
release,B1,release
relevant,B2,relevant
reliable,B1,reliable
relic,B2,relic
relief,B2,relief
relieve,B2,relieve
relieved,B2,relieve
religion,B1,religion
religious,B1,religious
reluctant,B2,reluctant
rely,B1,rely
remain,A2,remain
remainder,B1,remainder
remaining,B2,remain
remains,B2,remain
remark,B2,remark
remark,B1,remark
remarkable,B1,remarkable
remarkably,B2,remarkably
remedy,B1,remedy
remember,A1,remember
remembrance,B1,remembrance
remind,A2,remind
reminder,B2,reminder
remote,A2,remote
remote control,B1,remote
remove,B1,remove
renew,B1,renew
rent,A2,rent
rent,A2,rent
rental,B2,rental
reorganize/reorganise,B2,reorganize
repaint,B2,repaint
repair,A2,repair
repair,A2,repair
repay,B1,repay
repeat,A1,repeat
repeatedly,B1,repeatedly
repertoire,B2,repertoire
repetition,B2,repetition
replace,A2,replace
replacement,B2,replacement
replica,B2,replica
reply,A2,reply
reply,B1,reply
report,A2,report
report,B1,report
reporter,A1,reporter
represent,A2,represent
representative,B1,representative
repress,B2,repress
repression,B2,repression
reprint,B2,reprint
reproduce,B1,reproduce
reprove,B2,reprove
republic,B1,republic
reputation,B1,reputation
request,A2,request
request,B1,request
require,B1,require
requirement,B1,requirement
rescue,B1,rescue
rescue,B1,rescue
research,A2,research
research,B2,research
researcher,B1,researcher
resemble,B1,resemble
reservation,B1,reservation
reserve,B1,reserve
reserve,B1,reserve
residence,B2,residence
resident,B1,resident
resident,B2,resident
residential,B1,residential
resign,B2,resign
resignation,B2,resignation
resist,B1,resist
resistance,B2,resistance
resolution,B2,resolution
resolve,B1,resolve
resonant,B2,resonant
resort,B1,resort
resource,B1,resource
respect,B1,respect
respect,B1,respect
respectable,B1,respectable
respectably,B2,respectably
respected,B2,respect
respiration,B2,respiration
respiratory,B2,respiratory
respond,B1,respond
response,A2,response
responsibility,B1,responsibility
responsible,B1,responsible
rest,B1,rest
rest,B1,rest
restaurant,A1,restaurant
restore,B1,restore
restrict,B1,restrict
restriction,B2,restriction
result,A1,result
result,B1,result
resume,B2,resume
retail,B1,retail
retailer,B2,retailer
retain,B1,retain
retard,B2,retard
retell,B1,retell
retina,B2,retina
retire,A2,retire
retired,A2,retire
retirement,B2,retirement
retreat,B2,retreat
retreat,B2,retreat
retrieve,B2,retrieve
retrospect,B1,retrospect
return,A2,return
return,A2,return
reunification,B1,reunification
reunify,B1,reunify
reunion,A2,reunion
reveal,A2,reveal
revelation,B2,revelation
revenge,B2,revenge
revenue,B2,revenue
reverence,B2,reverence
reverse,B2,reverse
review,A1,review
review,B2,review
revise,B1,revise
revision,B1,revision
revival,B2,revival
revive,B2,revive
revolution,B2,revolution
revolutionary,B2,revolutionary
revolutionize/revolutionise,B2,revolutionize
revolve,B2,revolve
reward,B1,reward
reward,B2,reward
rewrite,B1,rewrite
rhinoceros,B2,rhinoceros
rhyme,B2,rhyme
rhythm,A2,rhythm
rhythmic,B2,rhythmic
rib,B2,rib
ribbon,A1,ribbon
rice,A1,rice
rich,A1,rich
rid,B1,rid
riddle,B2,riddle
riddle,B1,riddle
ride,A1,ride
ride,A1,ride
rider,B2,rider
ridge,B2,ridge
ridiculous,B1,ridiculous
right,A1,right
right,A1,right
right,A2,right
righteousness,B2,righteousness
right-hand,A2,right
rightly,B2,rightly
rim,B2,rim
ring,A2,ring
ring,A1,ring
rip,B2,rip
ripe,B1,ripe
rise,B1,rise
rise,B1,rise
risk,B1,risk
risk,B2,risk
risky,B2,risky
rite,B2,rite
ritual,B2,ritual
rival,B2,rival
river,A1,river
road,A2,road
roadside,B1,roadside
roam,B2,roam
roar,B2,roar
roast,B2,roast
roast,A2,roast
rob,A2,rob
robbery,A2,robbery
robin,A2,robin
robot,B1,robot
rock,A2,rock
rock,B2,rock
rocket,B2,rocket
rocky,B2,rocky
role,A1,role
roll,A2,roll
roll,B2,roll
rolling,B1,roll
romance,A2,romance
romantic,A2,romantic
roof,A2,roof
room,A1,room
room,B1,room
roommate,B2,roommate
root,A2,root
rope,A2,rope
rose,A1,rise
rosy,B2,rosy
rotten,B1,rotten
rough,B1,rough
roughly,A2,roughly
round,B1,round
round,A2,round
round,B1,round
round,B2,round
round,B2,round
roundabout,A2,roundabout
route,B2,route
routine,B1,routine
row,A1,row
row,B2,row
royal,A2,royal
royalty,B2,royalty
rub,B2,rub
rubber,B1,rubber
rubbish,B1,rubbish
rubble,B2,rubble
rude,A1,rude
rudely,B1,rudely
rug,B2,rug
rugby,A2,rugby
ruin,B1,ruin
ruin,A2,ruin
ruinous,B2,ruinous
rule,A1,rule
rule,B2,rule
ruler,A1,ruler
rumor/rumour,A2,rumor
run,A1,run
run,A1,run
runaway,B1,runaway
runner,A2,runner
running,A2,run
runway,B1,runway
rural,B2,rural
rush,A2,rush
rush,B1,rush
rush hour,B2,rush
rusty,B2,rusty
's,A1,'s
sack,B2,sack
sacred,B1,sacred
sad,A1,sad
sadly,A2,sadly
sadness,B1,sadness
safari,B1,safari
safe,A2,safe
safeguard,B1,safeguard
safeguard,B2,safeguard
safely,B1,safely
safety,B1,safety
sag,B2,sag
sage,B2,sage
sail,B2,sail
sailing,A2,sailing
sailor,A1,sailor
sake,A2,sake
salad,A1,salad
salary,B2,salary
sale,A1,sale
salesman,B1,salesman
salesmanship,B2,salesmanship
salesperson,B2,salesperson
saleswoman,B2,saleswoman
salmon,B1,salmon
salon,B2,salon
salsa,B2,salsa
salt,A2,salt
salty,B2,salty
same,A1,same
same,A1,same
same,A1,same
sample,A2,sample
sand,B1,sand
sandal,B1,sandal
sandstone,B2,sandstone
sandwich,A1,sandwich
sandy,A2,sandy
sanitary,B2,sanitary
sanitation,B2,sanitation
satellite,B1,satellite
satisfaction,B1,satisfaction
satisfactory,B2,satisfactory
satisfied,B1,satisfy
satisfy,A2,satisfy
Saturday,A1,Saturday
sauce,A2,sauce
saucepan,B1,saucepan
saucer,B1,saucer
sausage,A2,sausage
save,A1,save
saving/savings,B2,saving
saw,A1,see
saw,B2,see
say,B2,say
say,A1,say
scale,A2,scale
scan,B1,scan
scan,B2,scan
scandal,B2,scandal
scar,B2,scar
scarcely,B2,scarcely
scare,B1,scare
scared,B1,scar
scarf,A2,scarf
scarlet,B2,scarlet
scary,B1,scary
scatter,B1,scatter
scene,A2,scene
scenery,A2,scenery
scenic,B1,scenic
scent,B2,scent
schedule,A2,schedule
schedule,B2,schedule
scheduled,B2,schedule
scheme,B2,scheme
scholar,B1,scholar
scholarship,B1,scholarship
scholasticism,B2,scholasticism
school,A1,school
schoolchild,A2,schoolchild
schoolgirl,B2,schoolgirl
schoolmate,B1,schoolmate
schoolteacher,B1,schoolteacher
schoolwork,A2,schoolwork
science,A1,science
science fiction,B1,science
scientific,A2,scientific
scientifically,B2,scientifically
scientist,A1,scientist
scissors,A2,scissor
scold,B1,scold
scooter,B2,scooter
scope,B1,scope
score,B1,score
score,B1,score
scramble,B2,scramble
scratch,B1,scratch
scratch,B2,scratch
scream,A2,scream
scream,B1,scream
screen,A2,screen
screen,B2,screen
screw,A2,screw
screw,B2,screw
scribble,B2,scribble
script,A2,script
scrooge,B2,scrooge
scuba,B2,scuba
sculpture,B1,sculpture
scythe,B2,scythe
sea,A1,sea
seafood,A2,seafood
seal,B2,seal
search,A2,search
search,B1,search
seaside,A2,seaside
season,B1,season
seasonal,B2,seasonal
seat,A1,seat
seawater,B1,seawater
seaweed,B1,seaweed
second,A1,second
second,B1,second
second,A2,second
second,A2,second
second person,B2,second
secondary,B2,secondary
secondary school,B1,secondary
second-hand,B1,second
second-hand,B1,second
secondly,B2,secondly
secret,B1,secret
secret,A2,secret
secretary,A2,secretary
secretly,B1,secretly
section,A1,section
sector,B2,sector
secure,B1,secure
security,B1,security
see,A1,see
seed,A2,seed
seek,A2,seek
seem,A2,seem
seesaw,B2,seesaw
segment,B2,segment
seize,B1,seize
seldom,B2,seldom
select,B1,select
select,B2,select
selection,B1,selection
self,A1,self
self-confidence,B2,self
self-confident,B2,self
selfish,B1,selfish
selfless,B2,selfless
self-service,B1,self
sell,A1,sell
seller,B2,seller
semester,A2,semester
semicolon,B2,semicolon
semi-final,B2,semi
seminar,B2,seminar
senator,B2,senator
send,A2,send
senior,A2,senior
senior,A2,senior
sensation,B1,sensation
sense,A2,sense
sense,B2,sense
sensible,B2,sensible
sensitive,B2,sensitive
sentence,A1,sentence
sentence,B2,sentence
separate,A2,separate
separate,B2,separate
separately,B2,separately
separation,B1,separation
September,A1,September
sequence,B1,sequence
serene,B2,serene
serial,B2,serial
series,B1,series
serious,B1,serious
seriously,A2,seriously
servant,B2,servant
serve,A2,serve
server,B1,server
service,B1,service
service,B1,service
session,B1,session
set,A2,set
set,A1,set
setback,B2,setback
setting,B1,set
settle,B1,settle
settlement,B1,settlement
settler,B1,settler
seven,A1,seven
seventeen,A1,seventeen
seventy,A1,seventy
several,A2,several
several,A2,several
severe,B1,severe
severely,B1,severely
sew,A2,sew
sex,B1,sex
sexism,B2,sexism
sexual,B2,sexual
sexy,B2,sexy
shabby,B2,shabby
shade,A2,shade
shadow,A2,shadow
shadow,B1,shadow
shadowy,B1,shadowy
shake,A1,shake
shake,B1,shake
shaken,B2,shaken
Shakespearean,B2,shakespearean
shaky,B2,shaky
shall,A2,shall
shallow,B1,shallow
shame,B1,shame
shameful,B1,shameful
shampoo,A2,shampoo
shape,A2,shape
shape,B1,shape
share,A2,share
share,A1,share
sharp,B1,sharp
sharp,B2,sharp
sharply,B2,sharply
shatter,B2,shatter
shave,B1,shave
she,A1,she
shed,B2,shed
sheep,A1,sheep
sheer,B1,sheer
sheet,B1,sheet
shelf,A1,shelf
shell,A2,shell
shell,B2,shell
shelter,B1,shelter
sheriff,B1,sheriff
shield,B2,shield
shift,B2,shift
shift,B1,shift
shine,A2,shine
shiny,B1,shiny
ship,A1,ship
ship,B1,ship
shipping,B2,shipping
shipwreck,B2,shipwreck
shirt,A1,shirt
shiver,B1,shiver
shock,A2,shock
shock,B2,shock
shocked,B1,shock
shocking,B1,shocking
shoe,A1,shoe
shoot,A2,shoot
shooting,B2,shoot
shop,A1,shop
shop,B1,shop
shop assistant,A2,shop
shopkeeper,B2,shopkeeper
shoplift,B2,shoplift
shoplifter,B2,shoplifter
shoplifting,B2,shoplift
shopper,B1,shopper
shopping,A1,shop
shore,A2,shore
short,A1,short
short,A1,short
short/shorts,A2,short
shortage,B1,shortage
shortly,B1,shortly
shortness,B2,shortness
short-term,B2,short
shot,A2,shoot
should,A1,should
shoulder,A1,shoulder
shout,A2,shout
shout,B1,shout
show,A2,show
show,A1,show
showbiz,B2,showbiz
showcase,B2,showcase
shower,A1,shower
shower,B2,shower
shrimp,B1,shrimp
shrink,B2,shrink
shrink,B2,shrink
shrug,B2,shrug
shut,B1,shut
shut,A2,shut
shy,A1,shy
sick,A1,sick
sickness,B1,sickness
side,A1,side
sidewalk,B1,sidewalk
sigh,B1,sigh
sigh,B2,sigh
sight,A1,sight
sightseeing,A2,sightsee
sign,A1,sign
sign,B1,sign
signal,B1,signal
signature,B1,signature
significance,B1,significance
significant,A2,significant
significantly,B2,significantly
signify,B2,signify
signpost,B1,signpost
silence,A2,silence
silent,B1,silent
silently,A2,silently
silk,B1,silk
silly,A2,silly
silver,A2,silver
silver,A2,silver
silverware,B2,silverware
similar,A2,similar
similarity,B1,similarity
similarly,B1,similarly
simple,A2,simple
simplification,B2,simplification
simplify,B1,simplify
simply,A2,simply
simultaneous,B2,simultaneous
simultaneously,B1,simultaneously
since,B2,since
since,B1,since
since,A2,since
sincere,B2,sincere
sincerity,B2,sincerity
sing,A1,sing
singer,A1,singer
singing,A2,sing
single,A2,single
single,B1,single
singular,A2,singular
singular,A2,singular
sink,A2,sink
sink,B1,sink
sir,A1,sir
sister,A1,sister
sister-in-law,B2,sister
sit,A1,sit
site,A1,site
sitting room,A2,sitting
situation,A2,situation
six,A1,six
sixteen,A1,sixteen
sixty,A1,sixty
size,A1,size
skate,A2,skate
skate,B1,skate
skateboard,B2,skateboard
skateboarder,B2,skateboarder
skateboarding,A2,skateboard
skating,A2,skate
skeleton,B1,skeleton
sketch,B2,sketch
ski,A2,ski
ski,B1,ski
skiing,A2,ski
skill,A1,skill
skilled,B2,skilled
skillful/skilful,B2,skillful
skillfully/skilfully,B2,skillfully
skim,B2,skim
skin,B1,skin
skip,B2,skip
skirt,A1,skirt
sky,A1,sky
skylark,B2,skylark
skyscraper,B1,skyscraper
skyward,B2,skyward
slam,B2,slam
slang,B2,slang
slap,B2,slap
slap,B2,slap
slash,B2,slash
slaughter,B2,slaughter
slave,A2,slave
slavery,B1,slavery
sleep,B1,sleep
sleep,A1,sleep
sleepless,A2,sleepless
sleepy,A2,sleepy
sleeve,B1,sleeve
slice,A2,slice
slice,B2,slice
slide,A2,slide
slide,B2,slide
slight,B2,slight
slight,B1,slight
slightly,B1,slightly
slim,A2,slim
slip,B1,slip
slip,B1,slip
sliver,B2,sliver
slogan,B1,slogan
slope,B1,slope
sloppy,B2,sloppy
slot,B1,slot
slow,A1,slow
slow,B1,slow
slow,B1,slow
slowly,A2,slowly
small,A1,small
smart,A1,smart
smash,B2,smash
smell,A1,smell
smell,B1,smell
smile,A1,smile
smile,B1,smile
smith,A1,smith
smoke,A1,smoke
smoke,A2,smoke
smoker,B1,smoker
smokestack,B2,smokestack
smoking,A1,smoke
smooth,A2,smooth
smoothly,A2,smoothly
snack,A2,snack
snake,A1,snake
snap,B2,snap
sneak,B2,sneak
sneer,B2,sneer
sneeze,B1,sneeze
sneeze,B2,sneeze
sniff,B2,sniff
snore,B2,snore
snore,B2,snore
snow,A1,snow
snow,A2,snow
snowball,B2,snowball
snowboard,B1,snowboard
snowboarding,A2,snowboard
snowstorm,B1,snowstorm
snowy,A1,snowy
so,A2,so
so,A1,so
soak,B2,soak
soak,B2,soak
soaked,B2,soak
soaking,B2,soak
soap,A2,soap
soap opera,B1,soap
soar,B2,soar
sob,B2,sob
so-called,B2,so
soccer,A1,soccer
sociable,B2,sociable
social,A1,social
social networking,B1,social
socialize/socialise,B2,socialize
socially,B1,socially
society,A2,society
sock,A2,sock
soda,A2,soda
sofa,A1,sofa
soft,A2,soft
soft drink,A2,soft
softly,A2,softly
softness,B2,softness
software,A2,software
soil,B2,soil
soil,B1,soil
solar,B2,solar
soldier,A2,soldier
solid,B1,solid
solidity,B2,solidity
soliloquy,B2,soliloquy
solo,B2,solo
solo,B2,solo
solo,B2,solo
solution,A2,solution
solve,A1,solve
solvent,B2,solvent
some,A1,some
some,A1,some
somebody,A2,somebody
someday,A2,someday
somehow,B1,somehow
someone,A1,someone
someplace,B1,someplace
something,A1,something
sometime,B1,sometime
sometimes,B1,sometimes
somewhat,B2,somewhat
somewhere,A2,somewhere
son,A1,son
song,A1,song
son-in-law,B2,son
sonnet,B2,sonnet
soon,A1,soon
soothe,B1,soothe
sophisticated,B2,sophisticated
sophomore,B1,sophomore
sore,B1,sore
sorrow,B1,sorrow
sorry,A1,sorry
sort,B1,sort
sort,B2,sort
soul,B1,soul
sound,B2,sound
sound,A2,sound
sound,A2,sound
soundtrack,B2,soundtrack
soup,A1,soup
sour,B1,sour
source,A2,source
south,A2,south
south,A2,south
south,A2,south
southeast,B1,southeast
southeast,B1,southeast
southern,B1,southern
southward,B2,southward
southwest,B1,southwest
southwest,B1,southwest
souvenir,B1,souvenir
Soviet,B2,soviet
soybean,B2,soybean
spa,B2,spa
space,A2,space
spaceship,A2,spaceship
spaghetti,A2,spaghetti
span,B2,span
spare,B2,spare
spare,B2,spare
sparerib,B2,sparerib
spark,B2,spark
sparkle,B1,sparkle
sparkling,B2,sparkle
sparrow,B2,sparrow
speak,A1,speak
speaker,A2,speaker
special,A1,special
specialist,B1,specialist
specialize/specialise,B1,specialize
specially,B1,specially
specialty,B2,specialty
species,B2,species
specific,A2,specific
specifically,B2,specifically
specify,B2,specify
spectacle,B2,spectacle
spectacular,B1,spectacular
spectator,B1,spectator
speech,A1,speech
speed,A2,speed
speed,B1,speed
speeder,B2,speeder
spell,A1,spell
spell,A2,spell
spellbound,B2,spellbound
spelling,B1,spell
spend,A1,spend
sphere,B1,sphere
spice,B1,spice
spicy,B1,spicy
spider,B1,spider
spill,A2,spill
spin,B2,spin
spinach,B1,spinach
spiral,B1,spiral
spirit,B1,spirit
spiritual,B1,spiritual
spite,B2,spite
splash,B2,splash
splash,A2,splash
splatter,B2,splatter
split,A2,split
split,B1,split
split,B2,split
spoil,B1,spoil
spokesman,B2,spokesman
spokeswoman,B2,spokeswoman
sponge,B1,sponge
sponsor,B1,sponsor
sponsor,B2,sponsor
spoon,A2,spoon
sport,A1,sport
